Year,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name
"2006, Munich"",""Munich "",Germany,2,0
"2006,""Leipzig "",Argentina,2,1,Mexico
"2006,""Stuttgart "",England,1,0,Ecuador
"2006,""Nuremberg "",Portugal,1,0,Netherlands
"2006,""Kaiserslautern "",Italy,1,0,Australia
"2006, Cologne"",""Cologne "",Switzerland,0,0
"2006, Dortmund"",""Dortmund "",Brazil,3,0
"2006, Hanover"",""Hanover "",Spain,1,3
"2006,""Berlin "",Germany,1,1,Argentina
"2006, Hamburg"",""Hamburg "",Italy,3,0
"2006, Gelsenkirchen"",""Gelsenkirchen "",England,0,0
"2006, Frankfurt"",""Frankfurt/Main "",Brazil,0,1
"2006, Dortmund"",""Dortmund "",Germany,0,2
"2006, Munich"",""Munich "",Portugal,0,1
"2006,""Stuttgart "",Germany,3,1,Portugal
"2006,""Berlin "",Italy,1,1,France
"2010,""Johannesburg "",South Africa,1,1,Mexico
"2010,""Cape Town "",Uruguay,0,0,France
"2010,""Nelson Mandela Bay/Port Elizabeth "",Korea Republic,2,0,Greece
"2010,""Johannesburg "",Argentina,1,0,Nigeria
"2010,""Phokeng "",England,1,1,USA
"2010,""Polokwane "",Algeria,0,1,Slovenia
"2010,""Tshwane/Pretoria "",Serbia,0,1,Ghana
"2010,""Durban "",Germany,4,0,Australia
"2010,""Johannesburg "",Netherlands,2,0,Denmark
"2010,""Mangaung/Bloemfontein "",Japan,1,0,Cameroon
"2010,""Cape Town "",Italy,1,1,Paraguay
"2010,""Phokeng "",New Zealand,1,1,Slovakia
"2010,""Nelson Mandela Bay/Port Elizabeth "",C�te d'Ivoire,0,0,Portugal
"2010,""Johannesburg "",Brazil,2,1,Korea DPR
"2010,""Nelspruit "",Honduras,0,1,Chile
"2010,""Durban "",Spain,0,1,Switzerland
"2010,""Tshwane/Pretoria "",South Africa,0,3,Uruguay
"2010,""Johannesburg "",Argentina,4,1,Korea Republic
"2010,""Mangaung/Bloemfontein "",Greece,2,1,Nigeria
"2010,""Polokwane "",France,0,2,Mexico
"2010,""Nelson Mandela Bay/Port Elizabeth "",Germany,0,1,Serbia
"2010,""Johannesburg "",Slovenia,2,2,USA
"2010,""Cape Town "",England,0,0,Algeria
"2010,""Durban "",Netherlands,1,0,Japan
"2010,""Phokeng "",Ghana,1,1,Australia
"2010,""Tshwane/Pretoria "",Cameroon,1,2,Denmark
"2010,""Mangaung/Bloemfontein "",Slovakia,0,2,Paraguay
"2010,""Nelspruit "",Italy,1,1,New Zealand
"2010,""Johannesburg "",Brazil,3,1,C�te d'Ivoire
"2010,""Cape Town "",Portugal,7,0,Korea DPR
"2010,""Nelson Mandela Bay/Port Elizabeth "",Chile,1,0,Switzerland
"2010,""Johannesburg "",Spain,2,0,Honduras
"2010,""Phokeng "",Mexico,0,1,Uruguay
"2010,""Mangaung/Bloemfontein "",France,1,2,South Africa
"2010,""Durban "",Nigeria,2,2,Korea Republic
"2010,""Polokwane "",Greece,0,2,Argentina
"2010,""Nelson Mandela Bay/Port Elizabeth "",Slovenia,0,1,England
"2010,""Tshwane/Pretoria "",USA,1,0,Algeria
"2010,""Johannesburg "",Ghana,0,1,Germany
"2010,""Nelspruit "",Australia,2,1,Serbia
"2010,""Johannesburg "",Slovakia,3,2,Italy
"2010,""Polokwane "",Paraguay,0,0,New Zealand
"2010,""Phokeng "",Denmark,1,3,Japan
"2010,""Cape Town "",Cameroon,1,2,Netherlands
"2010,""Durban "",Portugal,0,0,Brazil
"2010,""Nelspruit "",Korea DPR,0,3,C�te d'Ivoire
"2010,""Tshwane/Pretoria "",Chile,1,2,Spain
"2010,""Mangaung/Bloemfontein "",Switzerland,0,0,Honduras
"2010,""Nelson Mandela Bay/Port Elizabeth "",Uruguay,2,1,Korea Republic
"2010,""Phokeng "",USA,1,2,Ghana
"2010,""Mangaung/Bloemfontein "",Germany,4,1,England
"2010,""Johannesburg "",Argentina,3,1,Mexico
"2010,""Durban "",Netherlands,2,1,Slovakia
"2010,""Johannesburg "",Brazil,3,0,Chile
"2010,""Tshwane/Pretoria "",Paraguay,0,0,Japan
"2010,""Cape Town "",Spain,1,0,Portugal
"2010,""Nelson Mandela Bay/Port Elizabeth "",Netherlands,2,1,Brazil
"2010,""Johannesburg "",Uruguay,1,1,Ghana
"2010,""Cape Town "",Argentina,0,4,Germany
"2010,""Johannesburg "",Paraguay,0,1,Spain
"2010,""Cape Town "",Uruguay,2,3,Netherlands
"2010,""Durban "",Germany,0,1,Spain
"2010,""Nelson Mandela Bay/Port Elizabeth "",Uruguay,2,3,Germany
"2010,""Johannesburg "",Netherlands,0,1,Spain
"2014,""Sao Paulo "",Brazil,3,1,Croatia
"2014,""Natal "",Mexico,1,0,Cameroon
"2014,""Salvador "",Spain,1,5,Netherlands
"2014,""Cuiaba "",Chile,3,1,Australia
"2014,""Belo Horizonte "",Colombia,3,0,Greece
"2014,""Fortaleza "",Uruguay,1,3,Costa Rica
"2014,""Manaus "",England,1,2,Italy
"2014,""Recife "",C�te d'Ivoire,2,1,Japan
"2014,""Brasilia "",Switzerland,2,1,Ecuador
"2014,""Porto Alegre "",France,3,0,Honduras
"2014,""Rio De Janeiro "",Argentina,2,1,""rn"""">Bosnia and Herzegovina""
"2014,""Salvador "",Germany,4,0,Portugal
"2014,""Curitiba "",IR Iran,0,0,Nigeria
"2014,""Natal "",Ghana,1,2,USA
"2014,""Belo Horizonte "",Belgium,2,1,Algeria
"2014,""Fortaleza "",Brazil,0,0,Mexico
"2014,""Cuiaba "",Russia,1,1,Korea Republic
"2014,""Porto Alegre "",Australia,2,3,Netherlands
"2014,""Rio De Janeiro "",Spain,0,2,Chile
"2014,""Manaus "",Cameroon,0,4,Croatia
"2014,""Brasilia "",Colombia,2,1,C�te d'Ivoire
"2014,""Sao Paulo "",Uruguay,2,1,England
"2014,""Natal "",Japan,0,0,Greece
"2014,""Recife "",Italy,0,1,Costa Rica
"2014,""Salvador "",Switzerland,2,5,France
"2014,""Curitiba "",Honduras,1,2,Ecuador
"2014,""Belo Horizonte "",Argentina,1,0,IR Iran
"2014,""Fortaleza "",Germany,2,2,Ghana
"2014,""Cuiaba "",Nigeria,1,0,""rn"""">Bosnia and Herzegovina""
"2014,""Rio De Janeiro "",Belgium,1,0,Russia
"2014,""Porto Alegre "",Korea Republic,2,4,Algeria
"2014,""Manaus "",USA,2,2,Portugal
"2014,""Curitiba "",Australia,0,3,Spain
"2014,""Sao Paulo "",Netherlands,2,0,Chile
"2014,""Brasilia "",Cameroon,1,4,Brazil
"2014,""Recife "",Croatia,1,3,Mexico
"2014,""Natal "",Italy,0,1,Uruguay
"2014,""Belo Horizonte "",Costa Rica,0,0,England
"2014,""Cuiaba "",Japan,1,4,Colombia
"2014,""Fortaleza "",Greece,2,1,C�te d'Ivoire
"2014,""Porto Alegre "",Nigeria,2,3,Argentina
"2014,""Salvador "",""rn"""">Bosnia and Herzegovina"",3,1,IR Iran
"2014,""Manaus "",Honduras,0,3,Switzerland
"2014,""Rio De Janeiro "",Ecuador,0,0,France
"2014,""Recife "",USA,0,1,Germany
"2014,""Brasilia "",Portugal,2,1,Ghana
"2014,""Sao Paulo "",Korea Republic,0,1,Belgium
"2014,""Curitiba "",Algeria,1,1,Russia
"2014,""Belo Horizonte "",Brazil,1,1,Chile
"2014,""Rio De Janeiro "",Colombia,2,0,Uruguay
"2014,""Brasilia "",France,2,0,Nigeria
"2014,""Porto Alegre "",Germany,2,1,Algeria
"2014,""Fortaleza "",Brazil,2,1,Colombia
"2014,""Rio De Janeiro "",France,0,1,Germany
"2014,""Belo Horizonte "",Brazil,1,7,Germany
"2014,""Brasilia "",Brazil,0,3,Netherlands
"2014,""Rio De Janeiro "",Germany,1,0,Argentina
"2014,""Sao Paulo "",Netherlands,0,0,Argentina
"2014,""Salvador "",Netherlands,0,0,Costa Rica
"2014,""Brasilia "",Argentina,1,0,Belgium
"2014,""Fortaleza "",Netherlands,2,1,Mexico
"2014,""Recife "",Costa Rica,1,1,Greece
"2014,""Sao Paulo "",Argentina,1,0,Switzerland
"2014,""Salvador "",Belgium,2,1,USA
"2014,""Belo Horizonte "",Brazil,1,1,Chile
"2014,""Rio De Janeiro "",Colombia,2,0,Uruguay
"2014,""Fortaleza "",Netherlands,2,1,Mexico
"2014,""Recife "",Costa Rica,1,1,Greece
"2014,""Brasilia "",France,2,0,Nigeria
"2014,""Porto Alegre "",Germany,2,1,Algeria
"2014,""Sao Paulo "",Argentina,1,0,Switzerland
"2014,""Salvador "",Belgium,2,1,USA
"2014,""Rio De Janeiro "",France,0,1,Germany
"2014,""Fortaleza "",Brazil,2,1,Colombia
"2014,""Brasilia "",Argentina,1,0,Belgium
"2014,""Salvador "",Netherlands,0,0,Costa Rica
"2014,""Belo Horizonte "",Brazil,1,7,Germany
"2014,""Sao Paulo "",Netherlands,0,0,Argentina
"2014,""Brasilia "",Brazil,0,3,Netherlands
"2014,""Rio De Janeiro "",Germany,1,0,Argentina
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
