MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
180,8,3070,1300,3504,120,70,US
150,8,3500,1650,3693,115,70,US
180,8,3180,1500,3436,110,70,US
160,8,3040,1500,3433,120,70,US
170,8,3020,1400,3449,105,70,US
150,8,4290,1980,4341,100,70,US
140,8,4540,2200,4354,90,70,US
140,8,4400,2150,4312,85,70,US
140,8,4550,2250,4425,100,70,US
150,8,3900,1900,3850,85,70,US
0,4,1330,1150,3090,175,70,Europe
0,8,3500,1650,4142,115,70,US
0,8,3510,1530,4034,110,70,US
0,8,3830,1750,4166,105,70,US
0,8,3600,1750,3850,110,70,US
150,8,3830,1700,3563,100,70,US
140,8,3400,1600,3609,80,70,US
0,8,3020,1400,3353,80,70,US
150,8,4000,1500,3761,95,70,US
140,8,4550,2250,3086,100,70,US
240,4,1130,9500,2372,150,70,Japan
220,6,1980,9500,2833,155,70,US
180,6,1990,9700,2774,155,70,US
210,6,2000,8500,2587,160,70,US
270,4,9700,8800,2130,145,70,Japan
260,4,9700,4600,1835,205,70,Europe
250,4,1100,8700,2672,175,70,Europe
240,4,1070,9000,2430,145,70,Europe
250,4,1040,9500,2375,175,70,Europe
260,4,1210,1130,2234,125,70,Europe
210,6,1990,9000,2648,150,70,US
100,8,3600,2150,4615,140,70,US
100,8,3070,2000,4376,150,70,US
110,8,3180,2100,4382,135,70,US
90,8,3040,1930,4732,185,70,US
270,4,9700,8800,2130,145,71,Japan
280,4,1400,9000,2264,155,71,US
250,4,1130,9500,2228,140,71,Japan
250,4,9800,0,2046,190,71,US
0,4,9700,4800,1978,200,71,Europe
190,6,2320,1000,2634,130,71,US
160,6,2250,1050,3439,155,71,US
170,6,2500,1000,3329,155,71,US
190,6,2500,8800,3302,155,71,US
180,6,2320,1000,3288,155,71,US
140,8,3500,1650,4209,120,71,US
140,8,4000,1750,4464,115,71,US
140,8,3510,1530,4154,135,71,US
140,8,3180,1500,4096,130,71,US
120,8,3830,1800,4955,115,71,US
130,8,4000,1700,4746,120,71,US
130,8,4000,1750,5140,120,71,US
180,6,2580,1100,2962,135,71,US
220,4,1400,7200,2408,190,71,US
190,6,2500,1000,3282,150,71,US
180,6,2500,8800,3139,145,71,US
230,4,1220,8600,2220,140,71,US
280,4,1160,9000,2123,140,71,Europe
300,4,7900,7000,2074,195,71,Europe
300,4,8800,7600,2065,145,71,Europe
310,4,7100,6500,1773,190,71,Japan
350,4,7200,6900,1613,180,71,Japan
270,4,9700,6000,1834,190,71,Europe
260,4,9100,7000,1955,205,71,US
240,4,1130,9500,2278,155,72,Japan
250,4,9750,8000,2126,170,72,US
230,4,9700,5400,2254,235,72,Europe
200,4,1400,9000,2408,195,72,US
210,4,1220,8600,2226,165,72,US
130,8,3500,1650,4274,120,72,US
140,8,4000,1750,4385,120,72,US
150,8,3180,1500,4135,135,72,US
140,8,3510,1530,4129,130,72,US
170,8,3040,1500,3672,115,72,US
110,8,4290,2080,4633,110,72,US
130,8,3500,1550,4502,135,72,US
120,8,3500,1600,4456,135,72,US
130,8,4000,1900,4422,125,72,US
190,3,7000,9700,2330,135,72,Japan
150,8,3040,1500,3892,125,72,US
130,8,3070,1300,4098,140,72,US
130,8,3020,1400,4294,160,72,US
140,8,3180,1500,4077,140,72,US
180,4,1210,1120,2933,145,72,Europe
220,4,1210,7600,2511,180,72,Europe
210,4,1200,8700,2979,195,72,Europe
260,4,9600,6900,2189,180,72,Europe
220,4,1220,8600,2395,160,72,US
280,4,9700,9200,2288,170,72,Japan
230,4,1200,9700,2506,145,72,Japan
280,4,9800,8000,2164,150,72,US
270,4,9700,8800,2100,165,72,Japan
130,8,3500,1750,4100,130,73,US
140,8,3040,1500,3672,115,73,US
130,8,3500,1450,3988,130,73,US
140,8,3020,1370,4042,145,73,US
150,8,3180,1500,3777,125,73,US
120,8,4290,1980,4952,115,73,US
130,8,4000,1500,4464,120,73,US
130,8,3510,1580,4363,130,73,US
140,8,3180,1500,4237,145,73,US
130,8,4400,2150,4735,110,73,US
120,8,4550,2250,4951,110,73,US
130,8,3600,1750,3821,110,73,US
180,6,2250,1050,3121,165,73,US
160,6,2500,1000,3278,180,73,US
180,6,2320,1000,2945,160,73,US
180,6,2500,8800,3021,165,73,US
230,6,1980,9500,2904,160,73,US
260,4,9700,4600,1950,210,73,Europe
110,8,4000,1500,4997,140,73,US
120,8,4000,1670,4906,125,73,US
130,8,3600,1700,4654,130,73,US
120,8,3500,1800,4499,125,73,US
180,6,2320,1000,2789,150,73,US
200,4,9700,8800,2279,190,73,Japan
210,4,1400,7200,2401,195,73,US
220,4,1080,9400,2379,165,73,Japan
180,3,7000,9000,2124,135,73,Japan
190,4,1220,8500,2310,185,73,US
210,6,1550,1070,2472,140,73,US
260,4,9800,9000,2265,155,73,Europe
150,8,3500,1450,4082,130,73,US
160,8,4000,2300,4278,950,73,US
290,4,6800,4900,1867,195,73,Europe
240,4,1160,7500,2158,155,73,Europe
200,4,1140,9100,2582,140,73,Europe
190,4,1210,1120,2868,155,73,Europe
150,8,3180,1500,3399,110,73,US
240,4,1210,1100,2660,140,73,Europe
200,6,1560,1220,2807,135,73,Japan
110,8,3500,1800,3664,110,73,US
200,6,1980,9500,3102,165,74,US
210,6,2000,0,2875,170,74,US
190,6,2320,1000,2901,160,74,US
150,6,2500,1000,3336,170,74,US
310,4,7900,6700,1950,190,74,Japan
260,4,1220,8000,2451,165,74,US
320,4,7100,6500,1836,210,74,Japan
250,4,1400,7500,2542,170,74,US
160,6,2500,1000,3781,170,74,US
160,6,2580,1100,3632,180,74,US
180,6,2250,1050,3613,165,74,US
160,8,3020,1400,4141,140,74,US
130,8,3500,1500,4699,145,74,US
140,8,3180,1500,4457,135,74,US
140,8,3020,1400,4638,160,74,US
140,8,3040,1500,4257,155,74,US
290,4,9800,8300,2219,165,74,Europe
260,4,7900,6700,1963,155,74,Europe
260,4,9700,7800,2300,145,74,Europe
310,4,7600,5200,1649,165,74,Japan
320,4,8300,6100,2003,190,74,Japan
280,4,9000,7500,2125,145,74,US
240,4,9000,7500,2108,155,74,Europe
260,4,1160,7500,2246,140,74,Europe
240,4,1200,9700,2489,150,74,Japan
260,4,1080,9300,2391,155,74,Japan
310,4,7900,6700,2000,160,74,Europe
190,6,2250,9500,3264,160,75,US
180,6,2500,1050,3459,160,75,US
150,6,2500,7200,3432,210,75,US
150,6,2500,7200,3158,195,75,US
160,8,4000,1700,4668,115,75,US
150,8,3500,1450,4440,140,75,US
160,8,3180,1500,4498,145,75,US
140,8,3510,1480,4657,135,75,US
170,6,2310,1100,3907,210,75,US
160,6,2500,1050,3897,185,75,US
150,6,2580,1100,3730,190,75,US
180,6,2250,9500,3785,190,75,US
210,6,2310,1100,3039,150,75,US
200,8,2620,1100,3221,135,75,US
130,8,3020,1290,3169,120,75,US
290,4,9700,7500,2171,160,75,Japan
230,4,1400,8300,2639,170,75,US
200,6,2320,1000,2914,160,75,US
230,4,1400,7800,2592,185,75,US
240,4,1340,9600,2702,135,75,Japan
250,4,9000,7100,2223,165,75,Europe
240,4,1190,9700,2545,170,75,Japan
180,6,1710,9700,2984,145,75,US
290,4,9000,7000,1937,140,75,Europe
190,6,2320,9000,3211,170,75,US
230,4,1150,9500,2694,150,75,Europe
230,4,1200,8800,2957,170,75,Europe
220,4,1210,9800,2945,145,75,Europe
250,4,1210,1150,2671,135,75,Europe
330,4,9100,5300,1795,175,75,Japan
280,4,1070,8600,2464,155,76,Europe
250,4,1160,8100,2220,169,76,Europe
250,4,1400,9200,2572,149,76,US
260,4,9800,7900,2255,177,76,US
270,4,1010,8300,2202,153,76,Europe
175,8,3050,1400,4215,130,76,US
160,8,3180,1500,4190,130,76,US
155,8,3040,1200,3962,139,76,US
145,8,3510,1520,4215,128,76,US
220,6,2250,1000,3233,154,76,US
220,6,2500,1050,3353,145,76,US
240,6,2000,8100,3012,176,76,US
225,6,2320,9000,3085,176,76,US
290,4,8500,5200,2035,222,76,US
245,4,9800,6000,2164,221,76,US
290,4,9000,7000,1937,142,76,Europe
330,4,9100,5300,1795,174,76,Japan
200,6,2250,1000,3651,177,76,US
180,6,2500,7800,3574,210,76,US
185,6,2500,1100,3645,162,76,US
175,6,2580,9500,3193,178,76,US
295,4,9700,7100,1825,122,76,Europe
320,4,8500,7000,1990,170,76,Japan
280,4,9700,7500,2155,164,76,Japan
265,4,1400,7200,2565,136,76,US
200,4,1300,1020,3150,157,76,Europe
130,8,3180,1500,3940,132,76,US
190,4,1200,8800,3270,219,76,Europe
190,6,1560,1080,2930,155,76,Japan
165,6,1680,1200,3820,167,76,Europe
165,8,3500,1800,4380,121,76,US
130,8,3500,1450,4055,120,76,US
130,8,3020,1300,3870,150,76,US
130,8,3180,1500,3755,140,76,US
315,4,9800,6800,2045,185,77,Japan
300,4,1110,8000,2155,148,77,US
360,4,7900,5800,1825,186,77,Europe
255,4,1220,9600,2300,155,77,US
335,4,8500,7000,1945,168,77,Japan
175,8,3050,1450,3880,125,77,US
170,8,2600,1100,4060,190,77,US
155,8,3180,1450,4140,137,77,US
150,8,3020,1300,4295,149,77,US
175,6,2500,1100,3520,164,77,US
205,6,2310,1050,3425,169,77,US
190,6,2250,1000,3630,177,77,US
185,6,2500,9800,3525,190,77,US
160,8,4000,1800,4220,111,77,US
155,8,3500,1700,4165,114,77,US
155,8,4000,1900,4325,122,77,US
160,8,3510,1490,4335,145,77,US
290,4,9700,7800,1940,145,77,Europe
245,4,1510,8800,2740,160,77,US
260,4,9700,7500,2265,182,77,Japan
255,4,1400,8900,2755,158,77,US
305,4,9800,6300,2051,170,77,US
335,4,9800,8300,2075,159,77,US
300,4,9700,6700,1985,164,77,Japan
305,4,9700,7800,2190,141,77,Europe
220,6,1460,9700,2815,145,77,Japan
215,4,1210,1100,2600,128,77,Europe
215,3,8000,1100,2720,135,77,Japan
431,4,9000,4800,1985,215,78,Europe
361,4,9800,6600,1800,144,78,US
328,4,7800,5200,1985,194,78,Japan
394,4,8500,7000,2070,186,78,Japan
361,4,9100,6000,1800,164,78,Japan
199,8,2600,1100,3365,155,78,US
194,8,3180,1400,3735,132,78,US
202,8,3020,1390,3570,128,78,US
192,6,2310,1050,3535,192,78,US
205,6,2000,9500,3155,182,78,US
202,6,2000,8500,2965,158,78,US
251,4,1400,8800,2720,154,78,US
205,6,2250,1000,3430,172,78,US
194,6,2320,9000,3210,172,78,US
206,6,2310,1050,3380,158,78,US
208,6,2000,8500,3070,167,78,US
186,6,2250,1100,3620,187,78,US
181,6,2580,1200,3410,151,78,US
192,8,3050,1450,3425,132,78,US
177,6,2310,1650,3445,134,78,US
181,8,3020,1390,3205,112,78,US
175,8,3180,1400,4080,137,78,US
300,4,9800,6800,2155,165,78,US
275,4,1340,9500,2560,142,78,Japan
272,4,1190,9700,2300,147,78,Japan
309,4,1050,7500,2230,145,78,US
211,4,1340,9500,2515,148,78,Japan
232,4,1560,1050,2745,167,78,US
238,4,1510,8500,2855,176,78,US
239,4,1190,9700,2405,149,78,Japan
203,5,1310,1030,2830,159,78,Europe
170,6,1630,1250,3140,136,78,Europe
216,4,1210,1150,2795,157,78,Europe
162,6,1630,1330,3410,158,78,Europe
315,4,8900,7100,1990,149,78,Europe
295,4,9800,6800,2135,166,78,Japan
215,6,2310,1150,3245,154,79,US
198,6,2000,8500,2990,182,79,US
223,4,1400,8800,2890,173,79,US
202,6,2320,9000,3265,182,79,US
206,6,2250,1100,3360,166,79,US
170,8,3050,1300,3840,154,79,US
176,8,3020,1290,3725,134,79,US
165,8,3510,1380,3955,132,79,US
182,8,3180,1350,3830,152,79,US
169,8,3500,1550,4360,149,79,US
155,8,3510,1420,4054,143,79,US
192,8,2670,1250,3605,150,79,US
185,8,3600,1500,3940,130,79,US
319,4,8900,7100,1925,140,79,Europe
341,4,8600,6500,1975,152,79,Japan
357,4,9800,8000,1915,144,79,US
274,4,1210,8000,2670,150,79,US
254,5,1830,7700,3530,201,79,Europe
230,8,3500,1250,3900,174,79,US
272,4,1410,7100,3190,248,79,Europe
239,8,2600,9000,3420,222,79,US
342,4,1050,7000,2200,132,79,US
345,4,1050,7000,2150,149,79,US
318,4,8500,6500,2020,192,79,Japan
373,4,9100,6900,2130,147,79,Europe
284,4,1510,9000,2670,160,79,US
288,6,1730,1150,2595,113,79,US
268,6,1730,1150,2700,129,79,US
335,4,1510,9000,2556,132,79,US
415,4,9800,7600,2144,147,80,Europe
381,4,8900,6000,1968,188,80,Japan
321,4,9800,7000,2120,155,80,US
372,4,8600,6500,2019,164,80,Japan
280,4,1510,9000,2678,165,80,US
264,4,1400,8800,2870,181,80,US
243,4,1510,9000,3003,201,80,US
191,6,2250,9000,3381,187,80,US
343,4,9700,7800,2188,158,80,Europe
298,4,1340,9000,2711,155,80,Japan
313,4,1200,7500,2542,175,80,Japan
370,4,1190,9200,2434,150,80,Japan
322,4,1080,7500,2265,152,80,Japan
466,4,8600,6500,2110,179,80,Japan
279,4,1560,1050,2800,144,80,US
408,4,8500,6500,2110,192,80,Japan
443,4,9000,4800,2085,217,80,Europe
434,4,9000,4800,2335,237,80,Europe
364,5,1210,6700,2950,199,80,Europe
300,4,1460,6700,3250,218,80,Europe
446,4,9100,6700,1850,138,80,Japan
409,4,8500,0,1835,173,80,Europe
338,4,9700,6700,2145,180,80,Japan
298,4,8900,6200,1845,153,80,Europe
327,6,1680,1320,2910,114,80,Japan
237,3,7000,1000,2420,125,80,Japan
350,4,1220,8800,2500,151,80,Europe
236,4,1400,0,2905,143,80,US
324,4,1070,7200,2290,170,80,Japan
272,4,1350,8400,2490,157,81,US
266,4,1510,8400,2635,164,81,US
258,4,1560,9200,2620,144,81,US
235,6,1730,1100,2725,126,81,US
300,4,1350,8400,2385,129,81,US
391,4,7900,5800,1755,169,81,Japan
390,4,8600,6400,1875,164,81,US
351,4,8100,6000,1760,161,81,Japan
323,4,9700,6700,2065,178,81,Japan
370,4,8500,6500,1975,194,81,Japan
377,4,8900,6200,2050,173,81,Japan
341,4,9100,6800,1985,160,81,Japan
347,4,1050,6300,2215,149,81,US
344,4,9800,6500,2045,162,81,US
299,4,9800,6500,2380,207,81,US
330,4,1050,7400,2190,142,81,Europe
345,4,1000,0,2320,158,81,Europe
337,4,1070,7500,2210,144,81,Japan
324,4,1080,7500,2350,168,81,Japan
329,4,1190,1000,2615,148,81,Japan
316,4,1200,7400,2635,183,81,Japan
281,4,1410,8000,3230,204,81,Europe
0,4,1210,1100,2800,154,81,Europe
307,6,1450,7600,3160,196,81,Europe
254,6,1680,1160,2900,126,81,Japan
242,6,1460,1200,2930,138,81,Japan
224,6,2310,1100,3415,158,81,US
266,8,3500,1050,3725,190,81,US
202,6,2000,8800,3060,171,81,US
176,6,2250,8500,3465,166,81,US
280,4,1120,8800,2605,196,82,US
270,4,1120,8800,2640,186,82,US
340,4,1120,8800,2395,180,82,US
310,4,1120,8500,2575,162,82,US
290,4,1350,8400,2525,160,82,US
270,4,1510,9000,2735,180,82,US
240,4,1400,9200,2865,164,82,US
230,4,1510,0,3035,205,82,US
360,4,1050,7400,1980,153,82,Europe
370,4,9100,6800,2025,182,82,Japan
310,4,9100,6800,1970,176,82,Japan
380,4,1050,6300,2125,147,82,US
360,4,9800,7000,2125,173,82,US
360,4,1200,8800,2160,145,82,Japan
360,4,1070,7500,2205,145,82,Japan
340,4,1080,7000,2245,169,82,Japan
380,4,9100,6700,1965,150,82,Japan
320,4,9100,6700,1965,157,82,Japan
380,4,9100,6700,1995,162,82,Japan
250,6,1810,1100,2945,164,82,US
380,6,2620,8500,3015,170,82,US
260,4,1560,9200,2585,145,82,US
220,6,2320,1120,2835,147,82,US
320,4,1440,9600,2665,139,82,Japan
360,4,1350,8400,2370,130,82,US
270,4,1510,9000,2950,173,82,US
270,4,1400,8600,2790,156,82,US
440,4,9700,5200,2130,246,82,Europe
320,4,1350,8400,2295,116,82,US
280,4,1200,7900,2625,186,82,US
310,4,1190,8200,2720,194,82,US
